audience,display_name,clean_name,mapping_type,csv_subcategory,snowflake_subcategories,,subcategory_count,category_perc_audience,category_perc_index,top_merchant,merchant_perc_index,merchant_perc_audience
College Basketball Fan,QSR,QSR,SUBCATEGORY,Restaurants - QSR & Fast Casual,Restaurants - QSR & Fast Casual,1,1,0.730102,94.94,MCDONALD'S,96.43,0.557117
College Basketball Fan,Home Improvement,Home Improvement,SUBCATEGORY,Home - Home Improvement & Hardware,Home - Home Improvement & Hardware,1,1,0.439593,103.53,THE HOME DEPOT,105.14,0.267629
College Basketball Fan,Beverages - Coffee & Tea,Coffee & Tea,SUBCATEGORY,Beverages - Coffee & Tea,Beverages - Coffee & Tea,1,1,0.422896,102.22,DUNKIN' DONUTS,112.11,0.274039
College Basketball Fan,Beverages - Alcohol,Alcohol,SUBCATEGORY,Beverages - Alcohol,Beverages - Coffee & Tea,0,1,0.422896,102.22,DUNKIN' DONUTS,112.11,0.274039
College Basketball Fan,Food Delivery,Food Delivery,SUBCATEGORY,Restaurants - Online Delivery,Restaurants - Online Delivery,1,1,0.231114,97.91,DOORDASH,97.7,0.158179
College Basketball Fan,Flowers,Flowers,SUBCATEGORY,Retailers - Flowers,Specialty Retailers - Outdoor,0,1,0.167502,121.84,BASS PRO SHOPS,111,0.042547
College Basketball Fan,Apparel - Sneakers,Sneakers,SUBCATEGORY,Athleisure - Sneakers Plus,Athleisure - Sneakers Plus,1,1,0.132462,108.33,NIKE,106.75,0.076754
College Basketball Fan,Tax & Legal Services,Tax & Legal,SUBCATEGORY,Business Services - Tax & Legal Services,Business Services - Tax & Legal Services,1,1,0.106915,122.91,TURBOTAX,142.85,0.047615
College Basketball Fan,Auto Services,Auto Services,SUBCATEGORY,Auto - Auto Services,Auto - Auto Service,0,1,0.106915,125.89,AMERICAN AUTOMOBILE ASSOCIATION,127.27,0.057107
College Basketball Fan,Sports Betting,Sports Betting,SUBCATEGORY,Gambling - Online,Gambling - Online,1,1,0.052039,115.29,FANDUEL.COM,117.74,0.01959
College Basketball Fan,Fitness,Fitness,CATEGORY,Fitness,"Fitness - Home Fitness, Fitness - Workout Classes, Fitness - Gyms & Clubs",1,3,,,PLANET FITNESS,88.23,0.021292
College Basketball Fan,Beauty,Beauty,CATEGORY,Beauty,"Beauty - Salons & Spas, Beauty - Cosmetics & Skincare, Beauty - Fragrance",1,3,,,ULTA BEAUTY,111.85,0.172872
College Basketball Fan,Streaming,Streaming,CATEGORY,Streaming,"Streaming - Specialty OTT - Sports, Streaming - OTT, Streaming - Platforms, Streaming - Specialty OTT - Anime",1,4,,,NETFLIX,104.64,0.167653
MLB Fan,QSR,QSR,SUBCATEGORY,Restaurants - QSR & Fast Casual,Restaurants - QSR & Fast Casual,1,1,0.841518,109.43,MCDONALD'S,121.72,0.703268
MLB Fan,Sober Curious,Sober Curious,SUBCATEGORY,Beverages - Non Alcoholic,Beverages - Coffee & Tea,0,1,0.588523,142.26,STARBUCKS,152.87,0.41738
