AVERAGE of PERC_AUDIENCE,,CATEGORY,SUBCATEGORY,,,
,,Social Media,Streaming,,,
AUDIENCE,MERCHANT,Social Media,Streaming - OTT,Streaming - Platforms,Streaming - Specialty OTT - Anime,Streaming - Specialty OTT - Sports
F1 Racing Fans,NETFLIX,,32.53%,,,
,PRIME VIDEO,,19.62%,,,
,DISNEY PLUS,,15.60%,,,
,HBO MAX,,11.82%,,,
,NBC UNIVERSAL,,11.54%,,,
,PARAMOUNT+,,11.52%,,,
,HULU,,10.86%,,,
,PEACOCK TV,,9.86%,,,
,YOUTUBE,,,8.96%,,
,Crunchyroll,,,,7.53%,
,ESPN+,,,,,6.12%
,ROKU,,,5.03%,,
,TIKTOK,9.22%,,,,
,LinkedIn,6.55%,,,,
,Discord,6.21%,,,,
F1 Racing Fans Total,,7.33%,15.42%,6.99%,7.53%,6.12%
Grand Total,,7.33%,15.42%,6.99%,7.53%,6.12%
