,,,,,TIME FRAME: ,ALL TIME,,,
Remade with real data. Can we also add a sober curious category to this one?,,,,,,,,,
College Basketball Fan:,Clean Name,Category,Subcategory:,,Segements,,,CATEGORIES,
Fitness,Fitness,Fitness,,,COLLEGE_BASKETBALL,COMMUNITY,,Fitness -%,",'Fitness -%'"
Beauty,Beauty,Beauty,,,MLB,COMMUNITY,,Beauty -%,",'Beauty -%'"
Flowers,Flowers,,Retailers - Flowers,,SUPER_BOWL,MERCHANT,,Auto -%,",'Auto -%'"
Tax & Legal Services,Tax & Legal ,,Business Services - Tax & Legal Services,,NWSL,COMMUNITY,,Streaming -%,",'Streaming -%'"
Beverages - Coffee & Tea,Coffee & Tea,,Beverages - Coffee & Tea,,MLS,COMMUNITY,,Athleisure -%,",'Athleisure -%'"
Home Improvement,Home Improvement,,Home - Home Improvement & Hardware,,,,,Travel -%,",'Travel -%'"
Beverages - Alcohol,Alcohol,,Beverages - Alcohol,,,,,Pets -%,",'Pets -%'"
Auto Services,Auto Services,,Auto - Auto Services,,,,,Lodging & Accommodation -%,",'Lodging & Accommodation -%'"
Sports Betting,Sports Betting,,Gambling - Online,,,,,Retailers - Flowers,",'Retailers - Flowers'"
Streaming,Streaming,Streaming,,,,,,Business Services - Tax & Legal Services,",'Business Services - Tax & Legal Services'"
Food Delivery,Food Delivery,,Restaurants - Online Delivery,,,,,Beverages - Coffee & Tea,",'Beverages - Coffee & Tea'"
QSR,QSR,,Restaurants - QSR & Fast Casual,,,,,Beverages - Non Alcoholic,",'Beverages - Non Alcoholic'"
Apparel - Sneakers,Sneakers,,Athleisure - Sneakers Plus,,,,,Home - Home Improvement & Hardware,",'Home - Home Improvement & Hardware'"
MLB Fan:,MLB Fan:,Category,Subcategory:,,,,,Gambling - Online,",'Gambling - Online'"
Fitness,Fitness,Fitness,,,,,,Restaurants - Online Delivery,",'Restaurants - Online Delivery'"
Sober Curious,Sober Curious,,Beverages - Non Alcoholic,,,,,Amateur Sports - Youth Sports,",'Amateur Sports - Youth Sports'"
Travel - Airlines,Airlines,,Travel - Airlines,,,,,Restaurants - QSR & Fast Casual,",'Restaurants - QSR & Fast Casual'"
Youth Sports,Youth Sports,,Amateur Sports - Youth Sports,,,,,Specialty Retailers - Outdoor,",'Specialty Retailers - Outdoor'"
Sports Betting,Sports Betting,,Gambling - Online,,,,,Home Furnishings & Goods - Retail,",'Home Furnishings & Goods - Retail'"
Streaming OTT,Streaming OTT,,Streaming - OTT,,,,,Retailers - Online E-Tail,",'Retailers - Online E-Tail'"
Food Delivery,Food Delivery,,Restaurants - Online Delivery,,,,,Attractions - Theme Parks,",'Attractions - Theme Parks'"
QSR,QSR,,Restaurants - QSR & Fast Casual,,,,,Entertainment & News - Movies,",'Entertainment & News - Movies'"
Pets - Retail,Pets ,,Pets - Retail,,,,,Entertainment & News - Musicians,",'Entertainment & News - Musicians'"
Outdoor Retailers,Outdoor Retailers,,Specialty Retailers - Outdoor,,,,,Auto - Auto Parts,",'Auto - Auto Parts'"
Beverages Coffee & Tea,Coffee & Tea,,Beverages - Coffee & Tea,,,,,Auto - Auto Service,",'Auto - Auto Service'"
Gaming - Publisher,Gaming ,,Gaming - Publisher,,,,,Auto - Car Dealers,",'Auto - Car Dealers'"
Super Bowl Fan,Super Bowl Fan,Category,Subcategory:,,,,,Auto - Car Washes,",'Auto - Car Washes'"
Health & Fitness,Health & Fitness,,Fitness,,,,,Auto - EV Charging,",'Auto - EV Charging'"
Travel - airlines,Airlines,,Travel - Airlines,,,,,Auto - Motorcycle Dealers,",'Auto - Motorcycle Dealers'"
Travel - Lodging & Accommodation,Travel,Lodging & Accommodation,,,,,,Auto - Oil Change,",'Auto - Oil Change'"
Sports Betting,Sports Betting,,Gambling - Online,,,,,Auto - Tire Service,",'Auto - Tire Service'"
Streaming OTT,Streaming OTT,,Streaming - OTT,,,,,Fitness - Gyms & Clubs,",'Fitness - Gyms & Clubs'"
Food Delivery,Food Delivery,,Restaurants - Online Delivery,,,,,Fitness - Home Fitness,",'Fitness - Home Fitness'"
Auto,Auto,Auto,,,,,,Fitness - Workout Classes,",'Fitness - Workout Classes'"
QSR,QSR,,Restaurants - QSR & Fast Casual,,,,,Beauty - Cosmetics & Skincare,",'Beauty - Cosmetics & Skincare'"
Entertainment & Music,Entertainment & Music,,Entertainment & News - Musicians,,,,,Beauty - Fragrance,",'Beauty - Fragrance'"
NWSL Fan,NWSL Fan,Category,Subcategory:,,,,,Beauty - Salons & Spas,",'Beauty - Salons & Spas'"
Boutique Fitness,Boutique Fitness,Fitness,,,"This is a community, use Fitness and see what pops",,,Streaming - OTT,",'Streaming - OTT'"
Athleisure,Athleisure,Athleisure,,,,,,Streaming - Platforms,",'Streaming - Platforms'"
Travel,Travel,Travel,,,,,,Streaming - Specialty OTT - Anime,",'Streaming - Specialty OTT - Anime'"
Streaming OTT,Streaming OTT,,Streaming - OTT,,,,,Streaming - Specialty OTT - Sports,",'Streaming - Specialty OTT - Sports'"
Food Delivery,Food Delivery,,Restaurants - Online Delivery,,,,,Athleisure - Activewear,",'Athleisure - Activewear'"
QSR,QSR,,Restaurants - QSR & Fast Casual,,,,,Athleisure - Sneakers Plus,",'Athleisure - Sneakers Plus'"
