COMMUNITY,COMMUNITY_INDEX,MERCHANT,MERCHANT_INDEX,PERC_AUDIENCE
Youth Sports,357.4,AZ Fall Classic,722.22,0.02782
Sports Betting,215.4,SLEEPER,,0.097229
Outdoor Retailers,179.25,COLUMBIA,,0.246424
Travel - Airlines,157.73,SUN COUNTRY AIRLINES,,0.264069
Pets - Retail,157.56,KRISER'S NATURAL PET,278.81,0.360603
Food Delivery,149.22,LEMONADE LA,289.3,0.352219
Beverages Coffee & Tea,142.26,ALLEGRO COFFEE COMPANY,350.0,0.588523
Streaming OTT,139.35,CRACKLE,400.0,0.423567
Gaming - Publisher,133.83,ZYNGA,,0.210633
QSR,109.43,DAVE'S HOT CHICKEN,,0.841518
