COMMUNITY,COMMUNITY_PERC_AUDIENCE_PCT,COMMUNITY_COMPOSITE_INDEX,COMMUNITY_PERC_INDEX,MERCHANT,PARENT_MERCHANT,CATEGORY,SUBCATEGORY,MERCHANT_PERC_AUDIENCE_PCT,MERCHANT_COMPOSITE_INDEX,MERCHANT_PERC_INDEX,MERCHANT_RANK
Live Entertainment Seekers,94.43,237.94,516.59,DAVE & BUSTER'S,DAVE & BUSTER'S,Entertainment & News,Entertainment & News - Indoor Entertainment,13.94,178.82,392.08,1
Sports Merchandise Shopper,35.53,213.93,484.7,MLB Shop,MLB,,Professional Sports - Merchandise,5.23,225.87,585.2,1
Sportstainment,24.3,196.46,415.04,TOPGOLF,TOPGOLF,Sportstainment,Sportstainment - Golf & Golf Resorts,8.24,203.16,449.1,1
Youth Sports,26.32,183.22,346.93,GoFan,Huddle,,Ticketing Platforms - Primary,16.21,188.76,384.01,1
Travelers,73.12,181.14,194.26,HUDSON NEWS,HUDSON NEWS,Travel,Travel - Retail,16.92,197.85,461.88,1
Trend Setters,20.03,176.86,358.42,Skims,Skims,Apparel,Apparel - Intimate & Swimwear,5.29,213.98,534.89,1
Fitness Enthusiasts,29.58,176.38,318.59,YMCA,YMCA,,Charitable Giving - Non Profit,5.2,169.47,306.71,1
Movie Buffs,44.84,169.24,296.34,FANDANGO,FANDANGO,Entertainment & News,Entertainment & News - Movies,13.65,191.03,417.95,1
Theme Parkers,37.99,167.5,307.68,UNIVERSAL STUDIOS HOLLYWOOD,UNIVERSAL THEME PARKS,Attractions,Attractions - Theme Parks,5.74,183.8,431.1,1
Casual Outdoor Enthusiasts,26.42,166.96,294.89,LULULEMON,LULULEMON,Athleisure,Athleisure - Activewear,13.09,193.01,423.25,1
