COMMUNITY,COMPARISON_POPULATION,PERC_AUDIENCE,PERC_AUDIENCE_PCT,PERC_INDEX,SPC_INDEX,SPP_INDEX,PPC_INDEX,COMPOSITE_INDEX
Live Entertainment Seekers,General Population,0.944257,94.4257,516.59,163.36,89.73,182.06,237.935
Sports Merchandise Shopper,General Population,0.355273,35.5273,484.7,136.1,103.8,131.12,213.92999999999998
Sportstainment,General Population,0.243026,24.3026,415.04,136.85,117.06,116.91,196.465
Youth Sports,General Population,0.263178,26.3178,346.93,144.27,107.64,134.04,183.22
Travelers,General Population,0.731199,73.1199,194.26,217.46,104.28,208.54,181.135
Trend Setters,General Population,0.20027,20.027,358.42,121.96,139.83,87.22,176.85750000000002
Fitness Enthusiasts,General Population,0.295787,29.5787,318.59,145.0,109.53,132.38,176.375
Movie Buffs,General Population,0.448409,44.8409,296.34,140.94,103.43,136.26,169.2425
Theme Parkers,General Population,0.379898,37.9898,307.68,130.86,98.26,133.18,167.495
Casual Outdoor Enthusiasts,General Population,0.264169,26.4169,294.89,137.5,107.35,128.09,166.9575
