COMMUNITY,COMMUNITY_PERC_INDEX,COMMUNITY_COMPOSITE_INDEX,MERCHANT_RANK,MERCHANT,PARENT_MERCHANT,CATEGORY,SUBCATEGORY,MERCHANT_PERC_AUDIENCE,MERCHANT_PERC_AUDIENCE_PCT,MERCHANT_PERC_INDEX,MERCHANT_COMPOSITE_INDEX,BEHAVIOR_TEXT
Live Entertainment Seekers,516.59,237.935,1,DAVE & BUSTER'S,DAVE & BUSTER'S,Entertainment & News,Entertainment & News - Indoor Entertainment,0.139434,13.9434,392.08,178.8225,Attends DAVE & BUSTER'S
Sports Merchandise Shopper,484.7,213.92999999999998,1,Rally House,Rally House,Apparel,Apparel - Sports Merchandise,0.05028,5.028,565.77,228.755,Shops Rally House
Sports Merchandise Shopper,484.7,213.92999999999998,2,MLB Shop,MLB,,Professional Sports - Merchandise,0.052311,5.2311,585.2,225.87,Shops MLB Shop
Sports Merchandise Shopper,484.7,213.92999999999998,3,FANATICS,FANATICS,Apparel,Apparel - Sports Merchandise,0.090634,9.0634,517.05,212.90499999999997,Shops FANATICS
Sports Merchandise Shopper,484.7,213.92999999999998,4,NFL Shop,NFL,,Professional Sports - Merchandise,0.068251,6.8251,512.55,209.74499999999998,Shops NFL Shop
Sports Merchandise Shopper,484.7,213.92999999999998,5,LIDS,LIDS,Accessories,Accessories - Outerwear,0.114289,11.4289,422.49,188.07250000000002,Shops LIDS
Sportstainment,415.04,196.465,1,TOPGOLF,TOPGOLF,Sportstainment,Sportstainment - Golf & Golf Resorts,0.082419,8.2419,449.1,203.1625,Plays at TOPGOLF
Sportstainment,415.04,196.465,2,MAIN EVENT ENTERTAINMENT,MAIN EVENT ENTERTAINMENT,Sportstainment,Sportstainment - Indoor Entertainment,0.057414,5.7414,423.41,202.05500000000004,Plays at MAIN EVENT ENTERTAINMENT
Youth Sports,346.93,183.22,1,GoFan,Huddle,,Ticketing Platforms - Primary,0.162107,16.2107,384.01,188.755,Plays GoFan
Youth Sports,346.93,183.22,2,YMCA,YMCA,,Charitable Giving - Non Profit,0.051951,5.1951,306.71,169.4675,Plays YMCA
Travelers,194.26,181.135,1,HILTON GARDEN INN,HILTON GARDEN INN,Lodging & Accommodation,Lodging & Accommodation - Hotels,0.058935,5.8935,329.49,213.0175,Travels with HILTON GARDEN INN
Travelers,194.26,181.135,2,COURTYARD BY MARRIOTT,COURTYARD BY MARRIOTT,Lodging & Accommodation,Lodging & Accommodation - Hotels,0.064058,6.4058,330.98,207.4225,Travels with COURTYARD BY MARRIOTT
Travelers,194.26,181.135,3,SOUTHWEST AIRLINES,SOUTHWEST AIRLINES,Travel,Travel - Airlines,0.131889,13.1889,325.63,198.75000000000003,Travels with SOUTHWEST AIRLINES
Travelers,194.26,181.135,4,HUDSON NEWS,HUDSON NEWS,Travel,Travel - Retail,0.169182,16.9182,461.88,197.8525,Travels with HUDSON NEWS
Travelers,194.26,181.135,5,MARRIOTT,MARRIOTT,Lodging & Accommodation,Lodging & Accommodation - Hotels,0.073714,7.3714,371.11,193.16,Travels with MARRIOTT
Trend Setters,358.42,176.85750000000002,1,Skims,Skims,Apparel,Apparel - Intimate & Swimwear,0.052922,5.2922,534.89,213.975,Buys Skims
Fitness Enthusiasts,318.59,176.375,1,YMCA,YMCA,,Charitable Giving - Non Profit,0.051951,5.1951,306.71,169.4675,Joins YMCA
Fitness Enthusiasts,318.59,176.375,2,PLANET FITNESS,PLANET FITNESS,Fitness,Fitness - Gyms & Clubs,0.051381,5.1381,212.9,129.74,Joins PLANET FITNESS
Movie Buffs,296.34,169.2425,1,FANDANGO,FANDANGO,Entertainment & News,Entertainment & News - Movies,0.136532,13.6532,417.95,191.0325,Buys FANDANGO
Movie Buffs,296.34,169.2425,2,AMC THEATRES,AMC THEATRES,Entertainment & News,Entertainment & News - Movies,0.239844,23.9844,355.14,178.5375,Buys AMC THEATRES
Movie Buffs,296.34,169.2425,3,REGAL CINEMAS,REGAL CINEMAS,Entertainment & News,Entertainment & News - Movies,0.120282,12.0282,295.39,156.05249999999998,Buys REGAL CINEMAS
Movie Buffs,296.34,169.2425,4,CINEMARK,CINEMARK,Entertainment & News,Entertainment & News - Movies,0.08375,8.375,258.1,153.505,Buys CINEMARK
Theme Parkers,307.68,167.495,1,DISNEYLAND RESORT,DISNEY,Attractions,Attractions - Theme Parks,0.11679,11.679,420.3,190.555,Visits DISNEYLAND RESORT
Theme Parkers,307.68,167.495,2,UNIVERSAL STUDIOS HOLLYWOOD,UNIVERSAL THEME PARKS,Attractions,Attractions - Theme Parks,0.057354,5.7354,431.1,183.8025,Visits UNIVERSAL STUDIOS HOLLYWOOD
Theme Parkers,307.68,167.495,3,WALT DISNEY WORLD RESORT,DISNEY,Attractions,Attractions - Theme Parks,0.106264,10.6264,378.12,175.5975,Visits WALT DISNEY WORLD RESORT
Casual Outdoor Enthusiasts,294.89,166.9575,1,LULULEMON,LULULEMON,Athleisure,Athleisure - Activewear,0.130919,13.0919,423.25,193.0125,Shops LULULEMON
Casual Outdoor Enthusiasts,294.89,166.9575,2,REI,REI,Specialty Retailers,Specialty Retailers - Outdoor,0.086672,8.6672,354.08,169.75,Shops REI
