COMMUNITY,COMMUNITY_INDEX,MERCHANT,MERCHANT_INDEX,PERC_AUDIENCE
Skiers,145.778833333,IKON PASS,823.8775,0.007998
Yogis,134.496333333,ALO YOGA,617.0825,0.027344
Sneakerheads,131.35325,Flight Club,466.985,0.004865
Pickleball,129.34,Chicken N Pickle,785.615,0.028686
Endurance Athletes,122.469916667,Spartan Race,381.4275,0.003364
Cultural Arts,122.448083333,BROADWAY DIRECT,987.4425,0.006250
Casual Outdoor Enthusiasts,120.024666667,LULULEMON,429.955,0.123438
Luxury Brand Shoppers,116.483666667,DAVID YURMAN,855.4175,0.006250
Trend Setters,112.7415,Pop Mart,800.22,0.024564
Skate,110.315258621,Sun Diego Boardshops,538.675,0.004026
