AUDIENCE,COMPARISON_POPULATION,COMMUNITY,PERC_AUDIENCE,MEDIAN_SPEND_PER_CUSTOMER,SPC,SPP,PPC,PERC_COMPARISON,COMPARISON_MEDIAN_SPEND_PER_CUSTOMER,COMPARISON_SPC,COMPARISON_SPP,COMPARISON_PPC,PERC_INDEX,SPC_INDEX,SPP_INDEX,PPC_INDEX,COMPOSITE_INDEX
Season Ticket Members,General Population,Hardcore Outdoor Enthusiasts,0.010549,89.94,436.11,218.05,2.000000,0.009623,197.23,557.42,220.77,2.524897,109.62,78.24,98.77,79.21,91.46
Season Ticket Members,Local Gen Pop (Excl. Seattle Reign Fans),Hardcore Outdoor Enthusiasts,0.010549,89.94,436.11,218.05,2.000000,0.017225,138.69,687.75,260.62,2.638928,61.24,63.41,83.67,75.79,71.0275
Season Ticket Members,Other Seattle/Washington Sports Fans,Hardcore Outdoor Enthusiasts,0.010549,89.94,436.11,218.05,2.000000,0.029002,137.62,613.43,245.17,2.502031,36.37,71.09,88.94,79.94,69.085
Season Ticket Members,NWSL Fans,Hardcore Outdoor Enthusiasts,0.010549,89.94,436.11,218.05,2.000000,0.020224,101.2,417.98,188.57,2.216613,52.16,104.34,115.63,90.23,90.59
Season Ticket Members,General Population,Olympics Fans,0.010549,91.82,168.16,120.11,1.400000,0.004234,66.14,158.11,68.11,2.321459,249.15,106.36,176.36,60.31,148.045
Season Ticket Members,Local Gen Pop (Excl. Seattle Reign Fans),Olympics Fans,0.010549,91.82,168.16,120.11,1.400000,0.007574,34.95,155.66,65.28,2.384673,139.28,108.03,184.01,58.71,122.5075
Single Match Buyers and Attendees,NWSL Fans,Emerging Sports Fan,0.008913,36.33,164.98,61.62,2.677419,0.021694,22.12,360.15,70.46,5.111782,41.09,45.81,87.46,52.38,56.685
Single Match Buyers and Attendees,General Population,Emerging Sports Fan,0.008913,36.33,164.98,61.62,2.677419,0.007042,42.63,183.72,46.34,3.964746,126.57,89.8,132.98,67.53,104.22
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Emerging Sports Fan,0.008913,36.33,164.98,61.62,2.677419,0.013568,18.51,232.35,50.53,4.598408,65.69,71,121.95,58.22,79.215
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Emerging Sports Fan,0.008913,36.33,164.98,61.62,2.677419,0.007610,18.33,211.63,47.92,4.415847,117.12,77.96,128.58,60.63,96.0725
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Motorcycle Enthusiasts,0.008530,82.91,420.38,179.87,2.337079,0.021403,107.73,753.29,262.12,2.873853,39.85,55.81,68.62,81.32,61.4
Single Match Buyers and Attendees,NWSL Fans,Motorcycle Enthusiasts,0.008530,82.91,420.38,179.87,2.337079,0.014319,102.27,612.68,242.31,2.528547,59.57,68.61,74.23,92.43,73.71
Single Match Buyers and Attendees,General Population,Motorcycle Enthusiasts,0.008530,82.91,420.38,179.87,2.337079,0.011363,175.82,697.52,229.34,3.041417,75.07,60.27,78.43,76.84,72.6525
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Motorcycle Enthusiasts,0.008530,82.91,420.38,179.87,2.337079,0.013929,108.1,783.85,269.29,2.910778,61.24,53.63,66.79,80.29,65.4875
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Adult Recreational Sports,0.007491,47.70,97.49,48.75,2.000000,0.001542,76.89,272.06,96.24,2.826923,485.80,35.83,50.65,70.75,160.7575
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Adult Recreational Sports,0.007491,47.70,97.49,48.75,2.000000,0.005164,88.98,323.53,116.08,2.787072,145.06,30.13,42,71.76,72.2375
Current Season Ticket Member,NWSL Fans,Adult Recreational Sports,0.007491,47.70,97.49,48.75,2.000000,0.016806,53.88,345.04,70.88,4.868227,44.57,28.25,68.78,41.08,45.67
Current Season Ticket Member,General Population,Adult Recreational Sports,0.007491,47.70,97.49,48.75,2.000000,0.001000,96.81,235.68,56.93,4.139677,749.10,41.36,85.63,48.31,231.1
Current Season Ticket Member,General Population,Boating & Sailing,0.007491,71.12,161.54,80.77,2.000000,0.004250,119.04,489.16,156.51,3.125486,176.26,33.02,51.61,63.99,81.22
Current Season Ticket Member,NWSL Fans,Boating & Sailing,0.007491,71.12,161.54,80.77,2.000000,0.007513,65.24,445.89,149.8,2.976584,99.71,36.23,53.92,67.19,64.2625
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Boating & Sailing,0.007491,71.12,161.54,80.77,2.000000,0.008781,59.22,461.95,144.63,3.193953,85.31,34.97,55.85,62.62,59.6875
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Boating & Sailing,0.007491,71.12,161.54,80.77,2.000000,0.017593,65.88,638.96,183.7,3.478237,42.58,25.28,43.97,57.5,42.3325
